s_Sample	h_popUID	h_SampCnt	h_SampFrac	s_ReadCntTotUsed	s_COI	c_clusterID	c_AveragedFrac	c_ReadCnt	c_RepCnt
2017-11-01-3773	pfama1.14	39	0.0446735	81291	2	0	0.509397	41420	2
2017-11-01-3773	pfama1.04	80	0.091638	81291	2	1	0.490603	39871	2
2017-11-06-3001	pfama1.04	80	0.091638	17464	1	0	1	17464	2
2017-11-06-3162	pfama1.43	2	0.00229095	13609	1	0	1	13609	2
2017-11-06-3163	pfama1.02	120	0.137457	127726	2	0	0.993909	126785	5
2017-11-06-3163	pfama1.00	145	0.166094	127726	2	1	0.00609054	941	5
2017-11-06-3164	pfama1.12	52	0.0595647	66422	1	0	1	66422	2
2017-11-07-3284	pfama1.08	62	0.0710195	32980	2	0	0.93167	30071	2
2017-11-07-3284	pfama1.15	31	0.0355097	32980	2	1	0.06833	2909	2
2017-11-07-3285	pfama1.10	60	0.0687285	20905	8	0	0.478877	10006	2
2017-11-07-3285	pfama1.08	62	0.0710195	20905	8	1	0.379513	7930	2
2017-11-07-3285	pfama1.15	31	0.0355097	20905	8	2	0.0492451	1037	2
2017-11-07-3285	pfama1.42	4	0.0045819	20905	8	3	0.0366025	761	2
2017-11-07-3285	pfama1.30	13	0.0148912	20905	8	4	0.0284391	593	2
2017-11-07-3285	pfama1.05	66	0.0756014	20905	8	5	0.0114957	243	2
2017-11-07-3285	pfama1.02	120	0.137457	20905	8	6	0.00871859	187	2
2017-11-07-3285	pfama1.01	133	0.152348	20905	8	7	0.00710943	148	2
2017-11-07-3523	pfama1.05	66	0.0756014	28634	1	0	1	28634	2
2017-11-08-3336	pfama1.03	82	0.093929	17533	1	0	1	17533	4
2017-11-13-3540	pfama1.09	61	0.069874	18349	2	0	0.815467	14963	1
2017-11-13-3540	pfama1.08	62	0.0710195	18349	2	1	0.184533	3386	1
2017-11-13-3541	pfama1.10	60	0.0687285	62446	1	0	1	62446	2
2017-11-13-3542	pfama1.00	145	0.166094	35962	6	0	0.519215	18672	1
2017-11-13-3542	pfama1.25	18	0.0206186	35962	6	1	0.281714	10131	1
2017-11-13-3542	pfama1.01	133	0.152348	35962	6	2	0.146822	5280	1
2017-11-13-3542	pfama1.05	66	0.0756014	35962	6	3	0.0265558	955	1
2017-11-13-3542	pfama1.16	30	0.0343643	35962	6	4	0.0174073	626	1
2017-11-13-3542	pfama1.08	62	0.0710195	35962	6	5	0.00828652	298	1
2017-11-13-3547	pfama1.07	64	0.0733104	29605	1	0	1	29605	2
2017-11-13-3557	pfama1.22	24	0.0274914	99451	1	0	1	99451	2
2017-11-13-3602	pfama1.00	145	0.166094	4661	7	0	0.35372	1633	2
2017-11-13-3602	pfama1.20	28	0.0320733	4661	7	1	0.314744	1460	2
2017-11-13-3602	pfama1.22	24	0.0274914	4661	7	2	0.129719	599	2
2017-11-13-3602	pfama1.07	64	0.0733104	4661	7	3	0.128194	619	2
2017-11-13-3602	pfama1.15	31	0.0355097	4661	7	4	0.0315992	153	2
2017-11-13-3602	pfama1.02	120	0.137457	4661	7	5	0.0220225	103	2
2017-11-13-3602	pfama1.03	82	0.093929	4661	7	6	0.0200019	94	2
2017-11-13-3604	pfama1.12	52	0.0595647	73499	11	0	0.24361	18111	3
2017-11-13-3604	pfama1.09	61	0.069874	73499	11	1	0.234688	17364	3
2017-11-13-3604	pfama1.05	66	0.0756014	73499	11	2	0.186053	13275	3
2017-11-13-3604	pfama1.01	133	0.152348	73499	11	3	0.0939985	7052	3
2017-11-13-3604	pfama1.32	11	0.0126002	73499	11	4	0.0931382	6935	3
2017-11-13-3604	pfama1.20	28	0.0320733	73499	11	5	0.0563621	4086	3
2017-11-13-3604	pfama1.33	11	0.0126002	73499	11	6	0.0268453	1877	3
2017-11-13-3604	pfama1.06	66	0.0756014	73499	11	7	0.0215675	1712	3
2017-11-13-3604	pfama1.29	15	0.0171821	73499	11	8	0.0167517	1140	3
2017-11-13-3604	pfama1.10	60	0.0687285	73499	11	9	0.0138029	1040	3
2017-11-13-3604	pfama1.02	120	0.137457	73499	11	10	0.0131826	907	3
2017-11-13-3719	pfama1.21	26	0.0297824	41181	2	0	0.957535	39198	2
2017-11-13-3719	pfama1.03	82	0.093929	41181	2	1	0.0424646	1983	2
2017-11-14-3578	pfama1.22	24	0.0274914	3731	8	0	0.327648	1215	2
2017-11-14-3578	pfama1.11	56	0.0641466	3731	8	1	0.20899	791	2
2017-11-14-3578	pfama1.06	66	0.0756014	3731	8	2	0.195422	729	2
2017-11-14-3578	pfama1.31	13	0.0148912	3731	8	3	0.111531	409	2
2017-11-14-3578	pfama1.19	28	0.0320733	3731	8	4	0.0755202	281	2
2017-11-14-3578	pfama1.12	52	0.0595647	3731	8	5	0.0500164	189	2
2017-11-14-3578	pfama1.10	60	0.0687285	3731	8	6	0.0198389	74	2
2017-11-14-3578	pfama1.07	64	0.0733104	3731	8	7	0.0110346	43	2
2017-11-14-3579	pfama1.34	9	0.0103093	8645	1	0	1	8645	2
2017-11-14-3580	pfama1.07	64	0.0733104	63558	1	0	1	63558	2
2017-11-14-3595	pfama1.00	145	0.166094	48318	1	0	1	48318	1
2017-11-14-3612	pfama1.06	66	0.0756014	33076	2	0	0.538921	17828	2
2017-11-14-3612	pfama1.00	145	0.166094	33076	2	1	0.461079	15248	2
2017-11-14-3614	pfama1.02	120	0.137457	1173	1	0	1	1173	2
2017-11-14-3615	pfama1.03	82	0.093929	62608	1	0	1	62608	4
2017-11-14-3616	pfama1.02	120	0.137457	19076	1	0	1	19076	2
2017-11-14-3617	pfama1.07	64	0.0733104	4271	1	0	1	4271	2
2017-11-15-3627	pfama1.08	62	0.0710195	46252	1	0	1	46252	2
2017-11-15-3630	pfama1.14	39	0.0446735	14550	1	0	1	14550	2
2017-11-15-3642	pfama1.02	120	0.137457	18631	1	0	1	18631	2
2017-11-17-3779	pfama1.06	66	0.0756014	99266	1	0	1	99266	2
2017-11-20-3154	pfama1.00	145	0.166094	87723	1	0	1	87723	2
2017-11-20-3190	pfama1.01	133	0.152348	40307	1	0	1	40307	2
2017-11-20-3202	pfama1.28	15	0.0171821	39590	2	0	0.808082	32340	3
2017-11-20-3202	pfama1.23	22	0.0252005	39590	2	1	0.191918	7250	3
2017-11-20-3205	pfama1.28	15	0.0171821	14824	2	0	0.765986	11325	2
2017-11-20-3205	pfama1.00	145	0.166094	14824	2	1	0.234014	3499	2
2017-11-20-3649	pfama1.00	145	0.166094	30528	1	0	1	30528	2
2017-11-20-3659	pfama1.32	11	0.0126002	113283	2	0	0.993287	112431	5
2017-11-20-3659	pfama1.11	56	0.0641466	113283	2	1	0.00671307	852	5
2017-11-20-3661	pfama1.07	64	0.0733104	104138	1	0	1	104138	3
2017-11-20-3665	pfama1.02	120	0.137457	98211	1	0	1	98211	2
2017-11-21-3672	pfama1.25	18	0.0206186	36389	2	0	0.957982	34863	2
2017-11-21-3672	pfama1.04	80	0.091638	36389	2	1	0.0420185	1526	2
2017-11-21-3673	pfama1.03	82	0.093929	46205	1	0	1	46205	2
2017-11-21-3677	pfama1.16	30	0.0343643	3927	2	0	0.82257	3027	4
2017-11-21-3677	pfama1.24	19	0.021764	3927	2	1	0.17743	900	4
2017-11-21-3685	pfama1.29	15	0.0171821	24321	2	0	0.772206	19555	2
2017-11-21-3685	pfama1.18	30	0.0343643	24321	2	1	0.227794	4766	2
2017-11-22-3708	pfama1.03	82	0.093929	99094	1	0	1	99094	2
2017-11-22-3709	pfama1.13	47	0.0538373	65508	1	0	1	65508	2
2017-11-22-3713	pfama1.19	28	0.0320733	55312	1	0	1	55312	2
2017-11-22-3714	pfama1.10	60	0.0687285	9689	2	0	0.836374	8321	2
2017-11-22-3714	pfama1.05	66	0.0756014	9689	2	1	0.163626	1368	2
2017-11-22-3718	pfama1.06	66	0.0756014	17355	1	0	1	17355	1
2017-11-22-3719	pfama1.21	26	0.0297824	19920	1	0	1	19920	2
2017-11-22-3720	pfama1.01	133	0.152348	38961	2	0	0.666523	26878	2
2017-11-22-3720	pfama1.21	26	0.0297824	38961	2	1	0.333477	12083	2
2017-11-22-3728	pfama1.05	66	0.0756014	45541	1	0	1	45541	2
2017-11-27-3746	pfama1.02	120	0.137457	26549	2	0	0.710736	18934	2
2017-11-27-3746	pfama1.06	66	0.0756014	26549	2	1	0.289264	7615	2
2017-11-27-3747	pfama1.01	133	0.152348	7755	1	0	1	7755	2
2017-11-27-3758	pfama1.20	28	0.0320733	71657	1	0	1	71657	3
2017-11-27-3761	pfama1.07	64	0.0733104	6964	1	0	1	6964	2
2017-11-27-3762	pfama1.14	39	0.0446735	8092	1	0	1	8092	1
2017-11-27-3766	pfama1.00	145	0.166094	44246	2	0	0.547123	23653	2
2017-11-27-3766	pfama1.04	80	0.091638	44246	2	1	0.452877	20593	2
2017-11-27-3773	pfama1.13	47	0.0538373	40347	1	0	1	40347	2
2017-11-27-3777	pfama1.07	64	0.0733104	34243	3	0	0.475603	15974	2
2017-11-27-3777	pfama1.42	4	0.0045819	34243	3	1	0.383475	12631	2
2017-11-27-3777	pfama1.11	56	0.0641466	34243	3	2	0.140922	5638	2
2017-11-27-3779	pfama1.06	66	0.0756014	74700	1	0	1	74700	3
